Pressure Altitude (ft),Temperature (�C),Propeller Pitch (rpm),Manifold Pressure (inHG),Power (%bHP),Airspeed (KTAS),Fuel Consumption (gal/hr),,,
0,15,2100,20.8,-55,-100,9.3,,,
0,15,2200,20,-55,-100,9.3,,,
0,15,2300,19.4,-55,-100,9.3,,,
0,15,2400,18.7,-55,-100,9.3,,,
0,15,2100,23.2,-65,-115,10.9,,,
0,15,2200,22.4,-65,-115,10.9,,,
0,15,2300,21.7,-65,-115,10.9,,,
0,15,2400,21,-65,-115,10.9,,,
0,15,2200,24.6,-75,-124,12.65,,,
0,15,2300,23.9,-75,-124,12.65,,,
0,15,2400,23.1,-75,-124,12.65,,,
0,15,2200,27.2,-85,-132,14.17,,,
0,15,2300,26.4,-85,-132,14.17,,,
0,15,2400,25.5,-85,-132,14.17,,,
1000,13,2100,20.5,-55,-102,9.3,,,
1000,13,2200,19.8,-55,-102,9.3,,,
1000,13,2300,19.2,-55,-102,9.3,,,
1000,13,2400,18.5,-55,-102,9.3,,,
1000,13,2100,22.9,-65,-117,10.9,,,
1000,13,2200,22.2,-65,-117,10.9,,,
1000,13,2300,21.5,-65,-117,10.9,,,
1000,13,2400,20.8,-65,-117,10.9,,,
1000,13,2200,24.3,-75,-126,12.65,,,
1000,13,2300,23.6,-75,-126,12.65,,,
1000,13,2400,22.9,-75,-126,12.65,,,
1000,13,2200,26.9,-85,-134,14.17,,,
1000,13,2300,26.1,-85,-134,14.17,,,
1000,13,2400,25.3,-85,-134,14.17,,,
2000,11,2100,20.3,-55,-103,9.3,,,
2000,11,2200,19.5,-55,-103,9.3,,,
2000,11,2300,19,-55,-103,9.3,,,
2000,11,2400,18.3,-55,-103,9.3,,,
2000,11,2100,22.7,-65,-118,10.9,,,
2000,11,2200,21.9,-65,-118,10.9,,,
2000,11,2300,21.2,-65,-118,10.9,,,
2000,11,2400,20.6,-65,-118,10.9,,,
2000,11,2200,24.1,-75,-128,12.65,,,
2000,11,2300,23.4,-75,-128,12.65,,,
2000,11,2400,22.6,-75,-128,12.65,,,
2000,11,2300,25.8,-85,-135,14.17,,,
2000,11,2400,25,-85,-135,14.17,,,
3000,9,2100,20,-55,-107,9.3,,,
3000,9,2200,19.3,-55,-107,9.3,,,
3000,9,2300,18.8,-55,-107,9.3,,,
3000,9,2400,18.1,-55,-107,9.3,,,
3000,9,2100,22.4,-65,-120,10.9,,,
3000,9,2200,21.7,-65,-120,10.9,,,
3000,9,2300,21,-65,-120,10.9,,,
3000,9,2400,20.4,-65,-120,10.9,,,
3000,9,2200,23.8,-75,-130,12.65,,,
3000,9,2300,23.1,-75,-130,12.65,,,
3000,9,2400,22.4,-75,-130,12.65,,,
3000,9,2400,24.7,-85,-138,14.17,,,
4000,7,2100,19.8,-55,-109,9.3,,,
4000,7,2200,19.1,-55,-109,9.3,,,
4000,7,2300,18.5,-55,-109,9.3,,,
4000,7,2400,17.9,-55,-109,9.3,,,
4000,7,2100,22.1,-65,-122,10.9,,,
4000,7,2200,21.4,-65,-122,10.9,,,
4000,7,2300,20.8,-65,-122,10.9,,,
4000,7,2400,20.2,-65,-122,10.9,,,
4000,7,2200,23.5,-75,-131,12.65,,,
4000,7,2300,22.8,-75,-131,12.65,,,
4000,7,2400,22.1,-75,-131,12.65,,,
5000,5,2100,19.5,-55,-110,9.3,,,
5000,5,2200,18.9,-55,-110,9.3,,,
5000,5,2300,18.3,-55,-110,9.3,,,
