Pressure Altitude (ft),Temperature (�C),Propeller Pitch (rpm),Manifold Pressure (inHG),Power (%bHP),Airspeed (KTAS),Fuel Consumption (gal/hr)
2000,-9,2400,22,-77,-134,13.1
2000,-9,2400,21,-72,-131,12.3
2000,-9,2400,20,-67,-128,11.5
2000,-9,2400,19,-62,-124,10.7
2000,-9,2300,23,-78,-135,13.3
2000,-9,2300,22,-73,-132,12.5
2000,-9,2300,21,-68,-128,11.7
2000,-9,2300,20,-64,-125,10.9
2000,-9,2200,23,-73,-132,12.5
2000,-9,2200,22,-69,-129,11.7
2000,-9,2200,21,-64,-125,11.0
2000,-9,2200,20,-60,-121,10.2
2000,-9,2100,23,-68,-128,11.6
2000,-9,2100,22,-64,-125,10.9
2000,-9,2100,21,-60,-121,10.2
2000,-9,2100,20,-56,-118,9.6
2000,-9,2100,19,-52,-113,9
2000,-9,2100,18,-47,-109,8.4
2000,11,2400,22,-74,-135,12.6
2000,11,2400,21,-69,-132,11.8
2000,11,2400,20,-65,-128,11.1
2000,11,2400,19,-60,-124,10.3
2000,11,2300,23,-75,-136,12.8
2000,11,2300,22,-70,-133,12
2000,11,2300,21,-66,-129,11.3
2000,11,2300,20,-62,-125,10.5
2000,11,2200,23,-70,-133,12
2000,11,2200,22,-66,-129,11.3
2000,11,2200,21,-62,-125,10.6
2000,11,2200,20,-58,-122,9.9
2000,11,2100,23,-66,-129,11.2
2000,11,2100,22,-62,-126,10.5
2000,11,2100,21,-58,-122,9.9
2000,11,2100,20,-54,-118,9.3
2000,11,2100,19,-50,-114,8.7
2000,11,2100,18,-46,-109,8.1
2000,31,2400,22,-71,-136,12.2
2000,31,2400,21,-67,-133,11.4
2000,31,2400,20,-63,-129,10.7
2000,31,2400,19,-58,-125,10
2000,31,2300,23,-72,-137,12.4
2000,31,2300,22,-68,-133,11.6
2000,31,2300,21,-64,-130,10.9
2000,31,2300,20,-60,-126,10.2
2000,31,2200,23,-68,-133,11.6
2000,31,2200,22,-64,-130,10.9
2000,31,2200,21,-60,-126,10.2
2000,31,2200,20,-56,-122,9.6
2000,31,2100,23,-64,-130,10.8
2000,31,2100,22,-60,-126,10.2
2000,31,2100,21,-56,-122,9.6
2000,31,2100,20,-52,-118,9
2000,31,2100,19,-48,-113,8.5
2000,31,2100,18,-44,-108,7.9
4000,-13,2400,21,-74,-135,12.6
4000,-13,2400,20,-69,-131,11.8
