w_fc,objective_value
0.0,62.66201714453305
0.02,61.28983194577065
0.04,59.91764674700826
0.06,58.545461548245896
0.08,57.17327634948348
0.1,55.80109115072113
0.12,54.4289059519587
0.14,53.0567207531963
0.16,51.684535554433914
0.18,50.312350355671526
0.2,48.94016515690913
0.22,47.56797995814676
0.24,46.19579475938435
0.26,44.82360956062197
0.28,43.451424361859566
0.3,42.07923916309719
0.32,40.7070539643348
0.34,39.33486876557238
0.36,37.96268356681
0.38,36.590498368047605
0.4,35.218313169285224
0.42,33.84612797052282
0.44,32.473942771760434
0.46,31.101757572998046
0.48,29.729572374235662
0.5,28.357387175473278
0.52,26.98520197671087
0.54,25.61301677794848
0.56,24.240831579186082
0.58,22.8686463804237
0.6,21.4964611816613
0.62,20.124275982898904
0.64,18.752090784136527
0.66,17.37990558537412
0.68,16.007720386611727
0.7,14.635535187841631
0.72,13.263349989079236
0.74,11.89116479031684
0.76,10.51897959155445
0.78,9.14679439279206
0.8,7.774609194029664
0.82,6.40242399526729
0.84,5.030238796504887
0.86,3.6580535977424926
0.88,0.4824837735826737
0.9,-1.926691250359509
0.92,-4.335866274301697
0.94,-6.745041298243876
0.96,-9.221183116343607
0.98,-11.84608862926215
1.0,-14.470994661481399
