Altitude,Airspeed V(mph),Rate-of-Climb RC(fpm),Sink Rate RS(fpm),Reynolds No,THP (hp),Thrust (lb),Drag (lb),L/D,SEP (ft/sec),Mach No.
0,      110.0,   551,  1040,   5.0e6,  106,  362,  237,  9.2,  9.2,  0.145
0,      120.0,   401,  1256,   5.4e6,  111,  346,  263,  8.3,  6.7,  0.158
0,      130.0,   195,  1516,   5.9e6,  115,  331,  294,  7.4,  3.2,  0.171
0,      140.0,  -68,   1823,   6.3e6,  118,  317,  329,  6.6, -1.1,  0.184
0,      150.0,  -391,  2177,   6.8e6,  122,  304,  369,  5.9, -6.5,  0.197
0,      154.0,  -537,  2332,   6.9e6,  123,  299,  385,  5.7, -8.9,  0.202
5000.0,  57.0,   222,   632,   2.2e6,   57,  376,  279,  7.8,  3.7,  0.076
5000.0,  60.0,   270,   622,   2.3e6,   60,  373,  261,  8.4,  4.5,  0.080
5000.0,  70.0,   392,   617,   2.7e6,   67,  360,  221,  9.9,  6.5,  0.094
5000.0,  80.0,   460,   650,   3.1e6,   74,  346,  203, 10.8,  7.7,  0.107
5000.0,  90.0,   479,   720,   3.5e6,   80,  333,  200, 10.9,  8.0,  0.120
5000.0, 100.0,   450,   826,   3.9e6,   85,  319,  207, 10.6,  7.5,  0.134
5000.0, 110.0,   373,   969,   4.3e6,   89,  305,  221,  9.9,  6.2,  0.147
5000.0, 120.0,   248,  1150,   4.7e6,   93,  292,  240,  9.1,  4.1,  0.160
5000.0, 130.0,    75,  1370,   5.0e6,   97,  279,  265,  8.3,  1.3,  0.174
5000.0, 140.0,  -148,  1632,   5.4e6,  100,  267,  294,  7.4, -2.5,  0.187
5000.0, 150.0,  -423,  1937,   5.8e6,  102,  256,  326,  6.7, -7.1,  0.201
5000.0,  154.0,  -548,  2071,  6.0e6,  103,  252,  340,  6.4, -9.1,  0.206
8000.0,   57.0,    91,   674,  2.0e6,   51,  338,  298,  7.3,  1.5,  0.077
8000.0,   60.0,   139,   660,  2.1e6,   54,  335,  277,  7.9,  2.3,  0.081
8000.0,   70.0,   262,   643,  2.5e6,   60,  323,  230,  9.5,  4.4,  0.095
8000.0,   80.0,   333,   663,  2.8e6,   66,  311,  208, 10.5,  5.6,  0.108
8000.0,   90.0,   357,   720,  3.2e6,   72,  299,  200, 10.9,  6.0,  0.122
8000.0,  100.0,   336,   810,  3.5e6,   76,  286,  203, 10.8,  5.6,  0.135
8000.0,  110.0,   270,   936,  3.9e6,   80,  274,  213, 10.3,  4.5,  0.149
8000.0,  120.0,   160,  1097,  4.2e6,   84,  262,  229,  9.5,  2.7,  0.162
8000.0,  130.0,     5,  1295,  4.6e6,   87,  251,  250,  8.7,  0.1,  0.176
8000.0,  140.0,  -197,  1531,  5.0e6,   90,  240,  275,  8,   -3.3,  0.189
8000.0,  150.0,  -445,  1808,  5.3e6,   92,  230,  304,  7.2, -7.4,  0.203
8000.0,  154.0,  -558,  1930,  5.4e6,   93,  226,  317,  6.9, -9.3,  0.208
10000.0,  57.0,     3,   706,  1.9e6,   48,  314,  313,  7,    0,    0.078
10000.0,  60.0,    52,   689,  2.0e6,   50,  311,  289,  7.6,  0.9,  0.082
10000.0,  70.0,   177,   663,  2.3e6,   56,  301,  238,  9.2,  2.9,  0.095
10000.0,  80.0,   250,   676,  2.7e6,   62,  289,  212,  10.3, 4.2,  0.109
10000.0,  90.0,   277,   723,  3.0e6,   67,  278,  201,  10.9, 4.6,  0.123
10000.0, 100.0,   261,   804,  3.3e6,   71,  266,  201,  10.9, 4.4,  0.136
10000.0, 110.0,   202,   918,  3.7e6,   75,  255,  209,  10.5, 3.4,  0.150
10000.0, 120.0,   102,  1066,  4.0e6,   78,  244,  223,  9.8,  1.7,  0.163
10000.0, 130.0,   -42,  1250,  4.3e6,   81,  233,  241,  9.1, -0.7,  0.177
10000.0, 140.0,  -229,  1470,  4.7e6,   83,  223,  264,  8.3, -3.8,  0.191
10000.0, 150.0,  -464,  1729,  5.0e6,   86,  214,  290,  7.5, -7.7,  0.204
10000.0, 154.0,  -567,  1843,  5.1e6,   86,  210,  302,  7.3, -9.4,  0.210
12000.0,  57.0,   -86,   740,  1.8e6,   44,  291,  328,  6.7, -1.4,  0.078
12000.0,  60.0,   -36,   721,  1.9e6,   46,  288,  303,  7.2, -0.6,  0.082
12000.0,  70.0,    91,   687,  2.2e6,   52,  279,  246,  8.9,  1.5,  0.096
12000.0,  80.0,   167,   691,  2.5e6,   57,  268,  216, 10.1,  2.8,  0.110
12000.0,  90.0,   198,   733,  2.8e6,   62,  258,  202, 10.9,  3.4,  0.124
12000.0, 100.0,   186,   805,  3.1e6,   66,  247,  200, 10.9,  3.2,  0.137
12000.0, 110.0,   131,   910,  3.4e6,   69,  237,  206, 10.7,  1.8,  0.152
12000.0, 120.0,    38,  1049,  3.7e6,   73,  227,  218,  9.9,  0.9,  0.165
12000.0, 130.0,   -89,  1224,  4.1e6,   75,  217,  235,  9.3, -1.4,  0.179
12000.0, 140.0,  -263,  1436,   4.4e6,   78,  208, 256,  8.5, -4.5,  0.192
12000.0, 150.0,  -482,  1690,   4.7e6,   80,  199,  281,  7.7, -8.3,  0.205
12000.0, 154.0,  -577,  1795,   4.8e6,   81,  195,  293,  7.4, -9.9,  0.211
14200.0,  57.0,  -150,   764,   1.7e6,   42,  274,  336,  6.5, -2.3,  0.079
14200.0,  60.0,  -101,   743,   1.8e6,   44,  270,  309,  7.0, -1.4,  0.083
