press. alt. ft.,std. alt. temp,rpm,man. press,% power
SL,15,2100,20.8,55
SL,15,2200,20,55
SL,15,2300,19.4,55
SL,15,2400,18.7,55
SL,15,2100,23.2,65
SL,15,2200,22.4,65
SL,15,2300,21.7,65
SL,15,2400,21,65
SL,15,2200,24.6,75
SL,15,2300,23.9,75
SL,15,2400,23.1,75
SL,15,2200,27.2,85
SL,15,2300,26.4,85
SL,15,2400,25.5,85
1000,13,2100,20.5,55
1000,13,2200,19.8,55
1000,13,2300,19.2,55
1000,13,2400,18.5,55
1000,13,2100,22.9,65
1000,13,2200,22.2,65
1000,13,2300,21.5,65
1000,13,2400,20.8,65
1000,13,2200,24.3,75
1000,13,2300,23.6,75
1000,13,2400,22.9,75
1000,13,2200,26.9,85
1000,13,2300,26.1,85
1000,13,2400,25.3,85
2000,11,2100,20.3,55
2000,11,2200,19.5,55
2000,11,2300,19,55
2000,11,2400,18.3,55
2000,11,2100,22.7,65
2000,11,2200,21.9,65
2000,11,2300,21.2,65
2000,11,2400,20.6,65
2000,11,2200,24.1,75
2000,11,2300,23.4,75
2000,11,2400,22.6,75
2000,11,2200,FT,85
2000,11,2300,25.8,85
2000,11,2400,25,85
3000,9,2100,20,55
3000,9,2200,19.3,55
3000,9,2300,18.8,55
3000,9,2400,18.1,55
3000,9,2100,22.4,65
3000,9,2200,21.7,65
3000,9,2300,21,65
3000,9,2400,20.4,65
3000,9,2200,23.8,75
3000,9,2300,23.1,75
3000,9,2400,22.4,75
3000,9,2200,Ð,85
3000,9,2300,FT,85
3000,9,2400,24.7,85
4000,7,2100,19.8,55
4000,7,2200,19.1,55
4000,7,2300,18.5,55
4000,7,2400,17.9,55
4000,7,2100,22.1,65
4000,7,2200,21.4,65
4000,7,2300,20.8,65
4000,7,2400,20.2,65
4000,7,2200,23.5,75
4000,7,2300,22.8,75
4000,7,2400,22.1,75
4000,7,2200,Ð,85
4000,7,2300,Ð,85
4000,7,2400,FT,85
5000,5,2100,19.5,55
5000,5,2200,18.9,55
5000,5,2300,18.3,55
5000,5,2400,17.7,55
5000,5,2100,21.9,65
5000,5,2200,21.2,65
5000,5,2300,20.5,65
5000,5,2400,20,65
5000,5,2200,23.2,75
5000,5,2300,22.6,75
5000,5,2400,21.9,75
6000,3,2100,19.3,55
6000,3,2200,18.6,55
6000,3,2300,18.1,55
6000,3,2400,17.5,55
6000,3,2100,21.6,65
6000,3,2200,21,65
6000,3,2300,20.3,65
6000,3,2400,19.7,65
6000,3,2200,FT,75
6000,3,2300,22.3,75
6000,3,2400,21.7,75
7000,1,2100,19.1,55
7000,1,2200,18.4,55
7000,1,2300,17.9,55
7000,1,2400,17.3,55
7000,1,2100,21.3,65
7000,1,2200,20.7,65
7000,1,2300,20.1,65
7000,1,2400,19.5,65
7000,1,2200,Ð,75
7000,1,2300,FT,75
7000,1,2400,21.5,75
8000,-1,2100,18.8,55
8000,-1,2200,18.2,55
8000,-1,2300,17.7,55
8000,-1,2400,17.2,55
8000,-1,2100,21.1,65
8000,-1,2200,20.5,65
8000,-1,2300,19.9,65
8000,-1,2400,19.3,65
8000,-1,2200,Ð,75
8000,-1,2300,Ð,75
8000,-1,2400,FT,75
9000,-3,2100,18.6,55
9000,-3,2200,18,55
9000,-3,2300,17.5,55
9000,-3,2400,17,55
9000,-3,2100,FT,65
9000,-3,2200,20.2,65
9000,-3,2300,19.7,65
9000,-3,2400,19.1,65
10000,-5,2100,18.3,55
10000,-5,2200,17.7,55
10000,-5,2300,17.2,55
10000,-5,2400,16.8,55
10000,-5,2100,Ð,65
10000,-5,2200,FT,65
10000,-5,2300,19.4,65
10000,-5,2400,18.9,65
11000,-7,2100,18.1,55
11000,-7,2200,17.5,55
11000,-7,2300,17,55
11000,-7,2400,16.6,55
11000,-7,2100,Ð,65
11000,-7,2200,Ð,65
11000,-7,2300,FT,65
11000,-7,2400,FT,65
12000,-9,2100,17.8,55
12000,-9,2200,17.3,55
12000,-9,2300,16.8,55
12000,-9,2400,16.4,55
13000,-11,2100,FT,55
13000,-11,2200,17,55
13000,-11,2300,16.6,55
13000,-11,2400,16.2,55
14000,-13,2100,Ð,55
14000,-13,2200,FT,55
14000,-13,2300,16.4,55
14000,-13,2400,16,55
15000,-15,2100,Ð,55
15000,-15,2200,Ð,55
15000,-15,2300,FT,55
15000,-15,2400,15.8,55
16000,-17,2100,Ð,55
16000,-17,2200,Ð,55
16000,-17,2300,Ð,55
16000,-17,2400,FT,55
